Nutzername,Vorname / First name,Nachname / Surname,Bist du Student:in? / Are you a student?,"Ich studiere in... / Ich habe studiert in...
I am studying in... / I have studied in...","
Welche Exkursion wäre deine erste Wahl? / Which excursion would be your first choice?","
Welche Exkursion wäre deine zweite Wahl? / Which excursion would be your second choice?","
Welche Exkursion wäre deine dritte Wahl? / Which excursion would be your third choice?",Welcher Workshop wäre deine erste Wahl? / Which workshop would be your first choice?,Welcher Workshop wäre deine zweite Wahl? / Which workshop would be your second choice?,Welcher Workshop wäre deine dritte Wahl? / Which workshop would be your third choice?
mail@217,vorname175,nachname209,True,stadt1,exkursion11,exkursion4,exkursion1,workshop4,workshop6,workshop11
mail@107,vorname102,nachname105,True,stadt1,exkursion12,exkursion8,exkursion6,workshop12,workshop1,workshop5
mail@156,vorname137,nachname152,True,stadt1,exkursion1,exkursion3,exkursion8,workshop4,workshop8,workshop5
mail@222,vorname179,nachname213,True,stadt1,exkursion8,exkursion1,exkursion11,workshop1,workshop2,workshop3
mail@1,vorname1,nachname1,True,stadt1,exkursion1,exkursion2,exkursion3,workshop1,workshop2,workshop3
mail@43,vorname42,nachname43,True,stadt1,exkursion6,exkursion5,exkursion1,workshop1,workshop9,workshop5
mail@11,vorname10,nachname11,True,stadt1,exkursion4,exkursion8,exkursion6,workshop8,workshop11,workshop1
mail@212,vorname11,nachname204,True,stadt1,exkursion8,exkursion4,exkursion10,workshop12,workshop9,workshop1
mail@223,vorname180,nachname214,True,stadt10,exkursion8,exkursion4,exkursion10,workshop5,workshop10,workshop11
mail@14,vorname13,nachname14,True,stadt10,exkursion1,exkursion8,exkursion4,workshop1,workshop3,workshop11
mail@133,vorname31,nachname130,True,stadt10,exkursion1,exkursion6,exkursion9,workshop1,workshop3,workshop11
mail@30,vorname29,nachname30,True,stadt11,exkursion4,exkursion11,exkursion8,workshop6,workshop10,workshop5
mail@29,vorname28,nachname29,True,stadt11,exkursion8,exkursion6,exkursion9,workshop13,workshop7,workshop6
mail@72,vorname70,nachname71,True,stadt11,exkursion6,exkursion11,exkursion8,workshop8,workshop13,workshop6
mail@148,vorname132,nachname145,True,stadt11,exkursion4,exkursion8,exkursion6,workshop6,workshop1,workshop8
mail@73,vorname71,nachname72,True,stadt13,exkursion9,exkursion6,exkursion4,workshop11,workshop1,workshop10
mail@176,vorname150,nachname171,True,stadt13,exkursion10,exkursion1,exkursion9,workshop12,workshop1,workshop7
mail@58,vorname56,nachname57,True,stadt13,exkursion4,exkursion8,exkursion6,workshop11,workshop9,workshop3
mail@92,vorname88,nachname90,True,stadt13,exkursion8,exkursion10,exkursion6,workshop12,workshop1,workshop6
mail@169,vorname145,nachname18,True,stadt13,exkursion10,exkursion4,exkursion8,workshop12,workshop6,workshop3
mail@181,vorname154,nachname175,True,stadt13,exkursion6,exkursion10,exkursion8,workshop8,workshop9,workshop1
mail@183,vorname156,nachname177,True,stadt13,exkursion4,exkursion8,exkursion6,workshop11,workshop9,workshop3
mail@38,vorname37,nachname38,True,stadt13,exkursion8,exkursion4,exkursion6,workshop11,workshop9,workshop8
mail@135,vorname122,nachname132,True,stadt13,exkursion12,exkursion1,exkursion6,workshop6,workshop1,workshop8
mail@105,vorname100,nachname103,True,stadt14,exkursion4,exkursion8,exkursion6,workshop8,workshop13,workshop6
mail@68,vorname66,nachname67,True,stadt14,exkursion12,exkursion8,exkursion4,workshop13,workshop7,workshop3
mail@106,vorname101,nachname104,True,stadt14,exkursion4,exkursion10,exkursion8,workshop4,workshop1,workshop5
mail@134,vorname121,nachname131,True,stadt14,exkursion10,exkursion6,exkursion8,workshop12,workshop6,workshop9
mail@96,vorname92,nachname94,True,stadt14,exkursion12,exkursion8,exkursion11,workshop1,workshop7,workshop6
mail@120,vorname111,nachname117,True,stadt14,exkursion10,exkursion8,exkursion6,workshop3,workshop6,workshop9
mail@66,vorname64,nachname65,True,stadt14,exkursion10,exkursion6,exkursion6,workshop6,workshop9,workshop5
mail@170,vorname146,nachname165,True,stadt14,exkursion8,exkursion11,exkursion10,workshop6,workshop5,workshop13
mail@187,vorname158,nachname180,True,stadt14,exkursion4,exkursion10,exkursion8,workshop6,workshop10,workshop5
mail@76,vorname74,nachname75,True,stadt14,exkursion4,exkursion10,exkursion8,workshop6,workshop5,workshop1
mail@81,vorname77,nachname80,True,stadt14,exkursion6,exkursion11,exkursion8,workshop11,workshop3,workshop6
mail@143,vorname127,nachname140,True,stadt15,exkursion7,exkursion3,exkursion11,workshop4,workshop3,workshop11
mail@39,vorname38,nachname39,True,stadt15,exkursion1,exkursion11,exkursion9,workshop12,workshop3,workshop8
mail@230,vorname43,nachname621,True,stadt15,exkursion10,exkursion1,exkursion8,workshop4,workshop6,workshop10
mail@64,vorname62,nachname63,True,stadt15,exkursion1,exkursion11,exkursion9,workshop12,workshop3,workshop8
mail@166,vorname43,nachname162,True,stadt15,exkursion10,exkursion8,exkursion1,workshop4,workshop13,workshop10
mail@102,vorname97,nachname100,True,stadt15,exkursion7,exkursion5,exkursion3,workshop12,workshop1,workshop9
mail@235,vorname45,nachname224,True,stadt16,exkursion6,exkursion1,exkursion8,workshop6,workshop8,workshop5
mail@180,vorname153,nachname174,True,stadt16,exkursion6,exkursion1,exkursion8,workshop11,workshop8,workshop5
mail@111,vorname106,nachname109,True,stadt16,exkursion5,exkursion8,exkursion10,workshop1,workshop15,workshop13
mail@139,vorname125,nachname136,True,stadt16,exkursion11,exkursion6,exkursion12,workshop7,workshop6,workshop8
mail@190,vorname160,nachname183,True,stadt16,exkursion1,exkursion9,exkursion1,workshop11,workshop5,workshop1
mail@158,vorname126,nachname154,True,stadt17,exkursion9,exkursion10,exkursion6,workshop13,workshop6,workshop11
mail@234,vorname185,nachname223,True,stadt18,exkursion8,exkursion4,exkursion12,workshop6,workshop8,workshop3
mail@78,vorname76,nachname77,True,stadt2,exkursion11,exkursion8,exkursion4,workshop11,workshop10,workshop1
mail@54,vorname52,nachname53,True,stadt2,exkursion8,exkursion4,exkursion6,workshop6,workshop5,workshop15
mail@104,vorname99,nachname102,True,stadt2,exkursion4,exkursion8,exkursion7,workshop3,workshop11,workshop6
mail@150,vorname83,nachname128,True,stadt2,exkursion10,exkursion8,exkursion4,workshop11,workshop1,workshop10
mail@41,vorname40,nachname41,True,stadt2,exkursion10,exkursion1,exkursion8,workshop6,workshop9,workshop8
mail@32,vorname31,nachname32,True,stadt2,exkursion8,exkursion1,exkursion10,workshop11,workshop1,workshop5
mail@177,vorname151,nachname22,True,stadt2,exkursion10,exkursion6,exkursion8,workshop12,workshop1,workshop6
mail@175,vorname149,nachname170,True,stadt2,exkursion1,exkursion6,exkursion9,workshop6,workshop13,workshop9
mail@213,vorname172,nachname205,True,stadt2,exkursion3,exkursion5,exkursion4,workshop3,workshop5,workshop8
mail@218,vorname122,nachname77,True,stadt2,exkursion1,exkursion5,exkursion10,workshop4,workshop6,workshop10
mail@207,vorname169,nachname200,True,stadt2,exkursion9,exkursion6,exkursion1,workshop6,workshop5,workshop1
mail@131,vorname83,nachname821,True,stadt2,exkursion10,exkursion8,exkursion4,workshop11,workshop1,workshop10
mail@20,vorname19,nachname20,True,stadt2,exkursion1,exkursion10,exkursion6,workshop12,workshop6,workshop3
mail@182,vorname155,nachname176,True,stadt2,exkursion8,exkursion7,exkursion4,workshop8,workshop7,workshop6
mail@79,vorname23,nachname78,True,stadt2,exkursion10,exkursion1,exkursion5,workshop4,workshop6,workshop5
mail@211,vorname171,nachname203,True,stadt2,exkursion7,exkursion10,exkursion1,workshop6,workshop9,workshop11
mail@62,vorname60,nachname61,True,stadt2,exkursion6,exkursion1,exkursion8,workshop12,workshop1,workshop6
mail@191,vorname161,nachname184,True,stadt2,exkursion10,exkursion1,exkursion5,workshop4,workshop5,workshop6
mail@44,vorname43,nachname44,True,stadt2,exkursion6,exkursion8,exkursion3,workshop11,workshop3,workshop6
mail@185,vorname70,nachname16,True,stadt2,exkursion11,exkursion6,exkursion8,workshop1,workshop13,workshop6
mail@18,vorname17,nachname18,True,stadt2,exkursion8,exkursion1,exkursion4,workshop5,workshop1,workshop10
mail@80,vorname66,nachname79,True,stadt2,exkursion8,exkursion4,exkursion10,workshop7,workshop1,workshop6
mail@152,vorname134,nachname148,True,stadt2,exkursion11,exkursion1,exkursion5,workshop12,workshop9,workshop10
mail@47,vorname46,nachname47,True,stadt2,exkursion6,exkursion4,exkursion10,workshop1,workshop10,workshop5
mail@214,vorname96,nachname206,True,stadt2,exkursion7,exkursion4,exkursion3,workshop6,workshop1,workshop11
mail@126,vorname115,nachname123,True,stadt2,exkursion7,exkursion6,exkursion9,workshop11,workshop5,workshop1
mail@201,vorname164,nachname194,True,stadt2,exkursion7,exkursion4,exkursion1,workshop4,workshop8,workshop1
mail@210,vorname170,nachname202,True,stadt2,exkursion1,exkursion2,exkursion6,workshop6,workshop1,workshop9
mail@199,vorname111,nachname192,True,stadt2,exkursion1,exkursion6,exkursion5,workshop8,workshop6,workshop1
mail@31,vorname30,nachname31,True,stadt2,exkursion6,exkursion11,exkursion8,workshop1,workshop10,workshop6
mail@221,vorname178,nachname212,True,stadt2,exkursion1,exkursion7,exkursion4,workshop5,workshop3,workshop8
mail@63,vorname61,nachname62,True,stadt2,exkursion6,exkursion1,exkursion4,workshop4,workshop1,workshop6
mail@228,vorname183,nachname219,True,stadt2,exkursion7,exkursion1,exkursion11,workshop6,workshop1,workshop5
mail@151,vorname71,nachname147,True,stadt2,exkursion4,exkursion5,exkursion3,workshop1,workshop5,workshop8
mail@179,vorname152,nachname173,True,stadt2,exkursion8,exkursion11,exkursion10,workshop4,workshop11,workshop6
mail@224,vorname40,nachname215,True,stadt2,exkursion1,exkursion7,exkursion10,workshop5,workshop10,workshop3
mail@99,vorname94,nachname97,True,stadt2,exkursion11,exkursion10,exkursion8,workshop11,workshop5,workshop10
mail@70,vorname68,nachname69,True,stadt2,exkursion1,exkursion10,exkursion2,workshop6,workshop5,workshop8
mail@119,vorname110,nachname116,True,stadt2,exkursion10,exkursion8,exkursion11,workshop4,workshop10,workshop11
mail@26,vorname25,nachname26,True,stadt2,exkursion1,exkursion6,exkursion8,workshop5,workshop6,workshop11
mail@128,vorname117,nachname125,True,stadt2,exkursion10,exkursion2,exkursion9,workshop8,workshop7,workshop6
mail@127,vorname116,nachname124,True,stadt2,exkursion4,exkursion7,exkursion1,workshop1,workshop9,workshop10
mail@137,vorname52,nachname134,True,stadt2,exkursion11,exkursion4,exkursion12,workshop1,workshop5,workshop10
mail@215,vorname173,nachname207,True,stadt2,exkursion8,exkursion1,exkursion6,workshop3,workshop6,workshop5
mail@25,vorname24,nachname25,True,stadt2,exkursion8,exkursion12,exkursion7,workshop6,workshop3,workshop7
mail@65,vorname63,nachname64,True,stadt2,exkursion12,exkursion4,exkursion8,workshop8,workshop3,workshop10
mail@33,vorname32,nachname33,True,stadt20,exkursion12,exkursion5,exkursion8,workshop11,workshop8,workshop5
mail@86,vorname82,nachname54,True,stadt21,exkursion8,exkursion4,exkursion12,workshop12,workshop9,workshop5
mail@55,vorname53,nachname54,True,stadt21,exkursion8,exkursion4,exkursion12,workshop6,workshop10,workshop5
mail@61,vorname59,nachname60,True,stadt22,exkursion4,exkursion1,exkursion9,workshop13,workshop6,workshop9
mail@87,vorname83,nachname85,True,stadt24,exkursion7,exkursion6,exkursion9,workshop8,workshop1,workshop5
mail@192,vorname84,nachname185,True,stadt26,exkursion10,exkursion8,exkursion12,workshop8,workshop6,workshop15
mail@233,vorname3,nachname3,True,stadt3,exkursion6,exkursion2,exkursion9,workshop6,workshop7,workshop1
mail@165,vorname142,nachname161,True,stadt3,exkursion1,exkursion6,exkursion7,workshop6,workshop8,workshop2
mail@145,vorname129,nachname142,True,stadt3,exkursion1,exkursion8,exkursion4,workshop1,workshop3,workshop11
mail@89,vorname85,nachname87,True,stadt3,exkursion8,exkursion10,exkursion4,workshop4,workshop5,workshop1
mail@71,vorname69,nachname70,True,stadt3,exkursion10,exkursion8,exkursion12,workshop4,workshop1,workshop7
mail@163,vorname7,nachname159,True,stadt3,exkursion6,exkursion10,exkursion1,workshop12,workshop6,workshop5
mail@74,vorname72,nachname73,True,stadt3,exkursion6,exkursion8,exkursion1,workshop6,workshop11,workshop1
mail@82,vorname78,nachname81,True,stadt3,exkursion5,exkursion6,exkursion4,workshop2,workshop11,workshop9
mail@162,vorname140,nachname158,True,stadt3,exkursion4,exkursion8,exkursion12,workshop3,workshop1,workshop6
mail@3,vorname3,nachname993,True,stadt3,exkursion6,exkursion5,exkursion7,workshop6,workshop7,workshop1
